,Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre,Reading Time (min)
0,Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,-1.0,371.0,10080,"Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.  ",10 hours and 54 minutes,",#1 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Personal Success,#1 in Stress Management,#2 in Society & Culture (Books)",654
1,Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3682.0,615,Brought to you by Penguin.,3 hours and 23 minutes,",#2 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Meditation (Audible Audiobooks & Originals),#1 in Self-Esteem,#2 in Personal Success",203
2,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,-1.0,20306.0,10378,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",5 hours and 17 minutes,",#3 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Personal Success,#16 in Personal Development & Self-Help",317
3,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4678.0,888,Brought to you by Penguin.,5 hours and 35 minutes,",#5 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Psychology (Audible Audiobooks & Originals),#3 in Stress Management,#4 in Personal Success",335
4,Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4308.0,1005,"Stop going through life,  Start growing through life!",6 hours and 25 minutes,",#6 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Literary Essays,#1 in Essays (Books),#1 in Spiritualism",385
5,Sapiens,Yuval Noah Harari,4.6,20163.0,1093,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,15 hours and 18 minutes,",#4 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Anthropology (Audible Audiobooks & Originals),#1 in History of Civilization,#2 in Anthropology (Books)",918
6,Extraordinary Leadership,Robin Sharma,4.4,179.0,0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",1 hour and 6 minutes,",#1 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Leadership,#1 in Business Careers",6
7,The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9339.0,18290,The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions ,17 hours and 48 minutes,",#7 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Personal Finance,#1 in Investing & Trading,#4 in Analysis & Strategy",1068
8,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6,22123.0,837,Rich Dad Poor Dad will…. ,6 hours and 9 minutes,",#9 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Personal Finance,#2 in Investing & Trading,#39 in Personal Development & Self-Help",369
9,The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5116.0,8735,"Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",11 hours and 4 minutes,",#8 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sleep Disorders,#6 in Personal Success,#8 in Healthy Living & Wellness",664
10,Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3795.0,12356,"Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings. ",10 hours and 6 minutes,",#11 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Consumer Behaviour,#1 in Marketing (Audible Audiobooks & Originals),#1 in Earth Sciences Books",606
11,Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43.0,0,"UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",7 hours and 19 minutes,",#2 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Entrepreneurship (Audible Audiobooks & Originals),#1 in Small Businesses,#1 in Business Management",439
12,The Sandman,Neil Gaiman,4.6,1.0,1171,"Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised. ",10 hours and 54 minutes,",#16 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Epic Fantasy,#1 in Dark Fantasy,#16 in Fantasy (Books)",654
